ShotMarker Archived Data (generated Jan 14 2025)
Exported 61 strings from Jan 14 of 117 total in archive

Jan 14 2025,Ethan Blackwell open,16,600y,198-11X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:21:45 pm,7,,X,30,-6,1.19,-0.22,0.19,-0.04,0.05,-0.01,640.4,2101,-4.2,-2,,
,6:22:09 pm,8,,X,18,11,0.71,0.41,0.11,0.07,0.03,0.02,639.3,2097,-3.8,-2.1,,
,6:22:31 pm,9,,X,-1,0,-0.05,0.01,-0.01,0,0,0,636.9,2090,-3.1,-2.1,,
,6:22:58 pm,10,,X,10,-8,0.37,-0.33,0.06,-0.05,0.02,-0.02,636.5,2088,-3.8,-2.2,,
,6:23:26 pm,11,,X,15,-10,0.57,-0.39,0.09,-0.06,0.03,-0.02,632.8,2076,-3.4,-2.2,,
,6:23:50 pm,12,,X,-7,17,-0.29,0.69,-0.05,0.11,-0.01,0.03,643.5,2111,-3.6,-2.1,,
,6:24:17 pm,13,,X,24,21,0.95,0.81,0.15,0.13,0.04,0.04,634.4,2081,-3.9,-2,,
,6:24:40 pm,14,,X,18,15,0.7,0.57,0.11,0.09,0.03,0.03,639.6,2098,-3.6,-2,,
,6:25:04 pm,15,,X,-1,3,-0.03,0.11,0,0.02,0,0.01,643.7,2112,-4,-2.1,,
,6:25:28 pm,16,,X,32,12,1.27,0.46,0.2,0.07,0.06,0.02,634.4,2081,-2.7,-2.6,,
,6:25:49 pm,17,,X,-22,-30,-0.87,-1.19,-0.14,-0.19,-0.04,-0.06,633.5,2078,-3.1,-2.6,,
,6:26:11 pm,18,,X,3,-32,0.13,-1.27,0.02,-0.2,0.01,-0.06,632.6,2075,-3,-2.3,,
,6:26:31 pm,19,,X,-26,-15,-1.01,-0.61,-0.16,-0.1,-0.05,-0.03,631.3,2071,-3,-2.3,,
,6:26:51 pm,20,,10,-40,-41,-1.59,-1.61,-0.25,-0.26,-0.07,-0.07,629.1,2064,-2.7,-2.5,,

,,,,avg:,1,-5,0.03,-0.18,0.01,-0.03,0,-0.01,635.9,2086.1,-3.4,-2.2,0.4,
,,,,SD:,19.4,19.4,0.77,0.77,0.12,0.12,0.04,0.04,3.97,13,0.42,0.19,0.1,

Jan 14 2025,unnamed,11,600y,9-0X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:16:25 pm,S1,sighter,9,-183,-34,-7.21,-1.35,-1.15,-0.21,-0.33,-0.06,588.9,1932,-1.1,-1.1,,
,6:17:22 pm,S2,sighter,X,74,-13,2.93,-0.5,0.47,-0.08,0.14,-0.02,586.9,1926,-1,-0.9,,
,6:18:08 pm,S3,sighter,10,4,112,0.17,4.4,0.03,0.7,0.01,0.2,585.5,1921,-1,-0.5,,
,6:18:38 pm,S4,sighter,X,65,-16,2.54,-0.62,0.4,-0.1,0.12,-0.03,590.5,1937,-1.1,-0.8,,
,6:19:23 pm,1,,9,78,140,3.07,5.52,0.49,0.88,0.14,0.26,585.7,1922,-1,-0.4,,


Jan 14 2025,unnamed,7,600y,189-11X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,5:50:04 pm,S1,sighter,9,-89,-16,-3.51,-0.65,-0.56,-0.1,-0.16,-0.03,600,1969,-1.3,-2.6,,
,5:50:44 pm,S2,sighter,X,-25,10,-0.99,0.38,-0.16,0.06,-0.05,0.02,603.3,1979,-2.1,-2.4,,
,5:51:11 pm,S3,sighter,10,-40,-35,-1.56,-1.36,-0.25,-0.22,-0.07,-0.06,597,1959,-1.5,-2.8,,
,5:51:39 pm,S4,sighter,9,-49,116,-1.93,4.55,-0.31,0.72,-0.09,0.21,617.6,2026,-2.3,-2.1,,
,5:52:09 pm,S5,sighter,10,-5,73,-0.18,2.88,-0.03,0.46,-0.01,0.13,610.6,2003,-2.7,-2,,
,5:52:34 pm,S6,sighter,10,-42,62,-1.65,2.45,-0.26,0.39,-0.08,0.11,614.4,2016,-2.3,-2.1,,
,5:53:21 pm,S7,sighter,9,-51,-88,-2.02,-3.45,-0.32,-0.55,-0.09,-0.16,602,1975,-2,-2.8,,
,5:53:58 pm,S8,sighter,X,16,24,0.61,0.96,0.1,0.15,0.03,0.04,604.2,1982,-2.8,-2.2,,
,5:54:42 pm,1,,X,32,6,1.24,0.24,0.2,0.04,0.06,0.01,612.6,2010,-2.9,-2.2,,
,5:55:32 pm,2,,X,-11,-5,-0.43,-0.21,-0.07,-0.03,-0.02,-0.01,615.7,2020,-2.6,-2.3,,
,5:55:58 pm,3,,X,18,18,0.69,0.69,0.11,0.11,0.03,0.03,608.8,1997,-2.6,-2.4,,
,5:56:28 pm,4,,X,-5,33,-0.19,1.31,-0.03,0.21,-0.01,0.06,609.9,2001,-2.9,-2.1,,
,5:57:03 pm,5,,X,-27,10,-1.06,0.37,-0.17,0.06,-0.05,0.02,603.5,1980,-2.1,-2.4,,
,5:57:34 pm,6,,10,55,32,2.15,1.27,0.34,0.2,0.1,0.06,612.3,2009,-3.1,-2,,
,5:58:05 pm,7,,X,-22,11,-0.85,0.43,-0.14,0.07,-0.04,0.02,602.6,1977,-2.3,-2.3,,
,6:00:12 pm,8,,X,-30,18,-1.19,0.7,-0.19,0.11,-0.06,0.03,608,1995,-2.3,-2.3,,
