ShotMarker Archived Data (generated Jan 18 2025)
Exported 51 strings from Jan 18 of 168 total in archive

Jan 18 2025,Ethan Blackwell open,18,600y,197-9X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,8:29:34 am,16,,10,50,11,1.97,0.42,0.31,0.07,0.09,0.02,619,2031,-0.1,-2.9,3.3,
,8:29:47 am,17,,X,-11,-20,-0.44,-0.78,-0.07,-0.12,-0.02,-0.04,619.5,2032,0,-2.5,0.6,
,8:30:00 am,18,,X,-28,-2,-1.09,-0.07,-0.17,-0.01,-0.05,0,616.8,2024,-0.3,-2.7,3.1,
,8:30:13 am,19,,X,-18,-21,-0.73,-0.82,-0.12,-0.13,-0.03,-0.04,615,2018,-0.1,-2.9,1.5,
,8:30:24 am,20,,10,-41,-13,-1.62,-0.5,-0.26,-0.08,-0.07,-0.02,621.9,2040,-0.2,-2.8,9.1,

,,,,avg:,-2,-2,-0.08,-0.06,-0.01,-0.01,0,0,617.6,2026.3,-0.3,-2.8,3.1,
,,,,SD:,34.9,32.3,1.38,1.27,0.22,0.2,0.06,0.06,2.71,8.9,0.24,0.1,2.4,

Jan 18 2025,Test hunter,12,600y,37-0X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,8:25:10 am,1,,8,-1,-219,-0.04,-8.64,-0.01,-1.37,0,-0.4,606.7,1990,1.6,-3.5,,
,8:25:24 am,2,,8,7,-226,0.26,-8.91,0.04,-1.42,0.01,-0.41,610.5,2003,1.8,-3.4,,
,8:25:33 am,3,,7,13,-235,0.52,-9.27,0.08,-1.48,0.02,-0.43,610.2,2002,1.7,-3.4,,
,8:25:47 am,4,,7,-3,-248,-0.12,-9.77,-0.02,-1.55,-0.01,-0.45,609,1998,1.8,-3.4,,
,8:25:57 am,5,,7,80,-253,3.15,-9.95,0.5,-1.58,0.15,-0.46,612.1,2008,1.7,-3.5,,

,,,,avg:,19,-236,0.76,-9.31,0.12,-1.48,0.03,-0.43,609.7,2000.3,1.7,-3.4,0.2,
,,,,SD:,31,12.6,1.22,0.5,0.19,0.08,0.06,0.02,1.8,5.9,0.08,0.05,0.1,

