ShotMarker Archived Data (generated Jan 07 2025)
Exported 53 strings from Jan 07 of 53 total in archive

Jan 07 2025,Alex Thompson open,16,600y,200-14X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:44:44 pm,S7,sighter,X,25,-17,1,-0.67,0.16,-0.11,0.05,-0.03,666,2185,-3.4,-1.9,,
,6:45:14 pm,1,,10,56,-52,2.2,-2.06,0.35,-0.33,0.1,-0.1,668.1,2192,-4,-1.8,,
,6:45:38 pm,2,,10,36,-63,1.4,-2.5,0.22,-0.4,0.06,-0.12,666.6,2187,-3.3,-2,,
,6:46:09 pm,3,,X,-11,18,-0.45,0.72,-0.07,0.11,-0.02,0.03,670.5,2200,-2.8,-1.8,,
,6:46:52 pm,4,,10,52,-40,2.04,-1.59,0.32,-0.25,0.09,-0.07,669.7,2197,-3.7,-1.8,,
,6:47:35 pm,5,,X,40,12,1.56,0.46,0.25,0.07,0.07,0.02,668.2,2192,-3.7,-1.8,,
,6:48:52 pm,6,,10,37,53,1.46,2.09,0.23,0.33,0.07,0.1,677.7,2223,-3.6,-1.6,,
,6:49:39 pm,7,,X,19,23,0.74,0.9,0.12,0.14,0.03,0.04,680.6,2233,-3.4,-1.7,,
,6:50:44 pm,8,,10,35,-41,1.36,-1.61,0.22,-0.26,0.06,-0.07,672.6,2207,-3.7,-1.8,,
,6:51:31 pm,9,,10,63,-19,2.48,-0.74,0.39,-0.12,0.11,-0.03,669.5,2197,-3.8,-1.7,,
,6:52:10 pm,10,,10,67,-17,2.63,-0.68,0.42,-0.11,0.12,-0.03,666.9,2188,-3.8,-2,,
,6:53:04 pm,11,,10,-8,43,-0.3,1.68,-0.05,0.27,-0.01,0.08,676.1,2218,-2.8,-1.8,,
,6:53:37 pm,12,,10,-29,-47,-1.14,-1.85,-0.18,-0.29,-0.05,-0.09,688.1,2258,-3.7,-1.9,,
,6:54:21 pm,13,,X,14,18,0.53,0.72,0.08,0.11,0.02,0.03,674.7,2214,-3.1,-1.8,,
,6:55:00 pm,14,,X,9,-16,0.36,-0.65,0.06,-0.1,0.02,-0.03,669.8,2198,-3,-2,,
,6:55:41 pm,15,,X,-1,30,-0.02,1.18,0,0.19,0,0.05,679.3,2229,-3.1,-1.8,,
,6:56:28 pm,16,,X,33,14,1.31,0.53,0.21,0.08,0.06,0.02,679.4,2229,-3.5,-1.6,,
,6:57:08 pm,17,,10,-2,79,-0.08,3.11,-0.01,0.5,0,0.14,680.2,2232,-3.3,-1.5,,
,6:57:42 pm,18,,10,38,36,1.49,1.41,0.24,0.22,0.07,0.07,678.8,2227,-3.9,-1.6,,
,6:58:23 pm,19,,X,-11,22,-0.43,0.87,-0.07,0.14,-0.02,0.04,682.8,2240,-3.4,-1.8,,
,6:59:37 pm,20,,10,8,63,0.3,2.46,0.05,0.39,0.01,0.11,686.9,2254,-3.5,-1.8,,

,,,,avg:,22,6,0.87,0.22,0.14,0.04,0.04,0.01,675.3,2215.6,-3.5,-1.8,0.4,
,,,,SD:,26.7,39.7,1.05,1.56,0.17,0.25,0.05,0.07,6.45,21.2,0.33,0.13,0.1,

Jan 07 2025,Ethan Hawthorne sling,10,600y,196-7X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:48:02 pm,S1,sighter,10,-70,-137,-2.75,-5.41,-0.44,-0.86,-0.13,-0.25,578.2,1897,2.2,-0.1,,
,6:48:36 pm,1,,10,80,-14,3.17,-0.56,0.5,-0.09,0.15,-0.03,590.3,1937,2.6,0.4,,
,6:49:05 pm,2,,9,-75,140,-2.97,5.5,-0.47,0.88,-0.14,0.25,581.7,1908,2.6,0.8,,
,6:49:46 pm,3,,10,95,52,3.74,2.04,0.59,0.33,0.17,0.09,588.6,1931,2.3,0.5,,
,6:50:17 pm,4,,X,-24,4,-0.95,0.16,-0.15,0.03,-0.04,0.01,587.4,1927,2.4,0.5,,
