ShotMarker Archived Data (generated Jan 28 2025)
Exported 42 strings from Jan 28 of 262 total in archive

Jan 28 2025,Ethan Blackwood F Open,8,600y,200-16X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:19:48 pm,S5,sighter,9,-138,142,-5.45,5.61,-0.87,0.89,-0.25,0.26,560.6,1839,0.3,0.6,8.4,
,6:20:27 pm,S6,sighter,X,-6,-78,-0.23,-3.08,-0.04,-0.49,-0.01,-0.14,554.9,1821,0,0.3,10.4,
,6:21:00 pm,1,,10,-112,-34,-4.41,-1.35,-0.7,-0.21,-0.2,-0.06,558.4,1832,0.1,0.4,9,
,6:21:41 pm,2,,10,111,5,4.39,0.18,0.7,0.03,0.2,0.01,553.6,1816,-0.6,0.3,10.8,
,6:22:18 pm,3,,10,-48,105,-1.88,4.14,-0.3,0.66,-0.09,0.19,563.1,1847,-0.3,0.5,8.3,
,6:22:50 pm,4,,10,-55,-59,-2.16,-2.33,-0.34,-0.37,-0.1,-0.11,558.4,1832,-0.2,0.3,10.4,
,6:23:22 pm,5,,9,-148,-90,-5.83,-3.54,-0.93,-0.56,-0.27,-0.16,552,1811,-0.1,0.3,8.4,
,6:23:52 pm,6,,9,124,-117,4.89,-4.61,0.78,-0.73,0.23,-0.21,550,1804,-0.1,0.2,13.3,
,6:24:31 pm,7,,10,92,52,3.61,2.05,0.58,0.33,0.17,0.09,556.1,1824,-0.3,0.5,12.9,
,6:24:58 pm,8,,X,27,63,1.06,2.46,0.17,0.39,0.05,0.11,555.8,1823,-0.1,0.4,10.5,
,6:25:25 pm,9,,X,3,-27,0.13,-1.06,0.02,-0.17,0.01,-0.05,561.4,1842,-0.2,0.3,10.2,
,6:25:52 pm,10,,10,-65,74,-2.57,2.92,-0.41,0.46,-0.12,0.14,558.1,1831,0,0.3,8.8,
,6:26:28 pm,11,,10,35,120,1.36,4.72,0.22,0.75,0.06,0.22,552.8,1814,-0.2,0.4,8.3,
,6:26:59 pm,12,,9,-169,52,-6.66,2.06,-1.06,0.33,-0.31,0.1,560.3,1838,0.2,0.5,6.6,
,6:27:41 pm,13,,10,-90,29,-3.54,1.13,-0.56,0.18,-0.16,0.05,559.7,1836,0.1,0.6,9.2,
,6:28:14 pm,14,,X,16,5,0.62,0.19,0.1,0.03,0.03,0.01,560.3,1838,-0.1,0.3,9.2,
,6:28:46 pm,15,,X,-51,56,-2.02,2.22,-0.32,0.35,-0.09,0.1,557.5,1829,-0.1,0.4,8,
,6:29:16 pm,16,,X,-54,1,-2.11,0.02,-0.34,0,-0.1,0,558.7,1833,-0.1,0.4,8.2,
,6:29:44 pm,17,,X,65,23,2.56,0.91,0.41,0.14,0.12,0.04,555.3,1822,-0.4,0,8.9,
,6:30:17 pm,18,,10,102,76,4.02,3,0.64,0.48,0.19,0.14,560.1,1838,-0.3,0.4,10.7,
,6:30:56 pm,19,,10,-6,-104,-0.24,-4.11,-0.04,-0.65,-0.01,-0.19,553.6,1816,-0.4,0.3,7.8,
,6:31:24 pm,20,,10,72,-67,2.85,-2.66,0.45,-0.42,0.13,-0.12,551.5,1809,-0.3,0.2,10.3,

,,,,avg:,-8,8,-0.3,0.32,-0.05,0.05,-0.01,0.01,556.8,1826.9,-0.2,0.3,9.5,
,,,,SD:,84.7,67.8,3.33,2.67,0.53,0.42,0.15,0.12,3.56,11.7,0.19,0.13,1.6,

Jan 28 2025,Test .036 mtap,9,600y,110-8X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:27:23 pm,S1,sighter,9,-71,51,-2.8,2.02,-0.45,0.32,-0.13,0.09,640.6,2102,-1.8,-1.6,,
,6:27:51 pm,1,,X,-34,5,-1.33,0.21,-0.21,0.03,-0.06,0.01,640.1,2100,-1.9,-1.7,,
,6:28:13 pm,2,,X,-22,-6,-0.85,-0.23,-0.14,-0.04,-0.04,-0.01,642.3,2107,-1.9,-1.7,,
,6:28:26 pm,3,,X,-15,17,-0.59,0.67,-0.09,0.11,-0.03,0.03,641.8,2106,-1.9,-1.7,,
,6:28:45 pm,4,,10,50,20,1.98,0.8,0.32,0.13,0.09,0.04,633.2,2077,-2,-1.3,,
,6:29:02 pm,5,,10,43,-10,1.69,-0.41,0.27,-0.07,0.08,-0.02,634.8,2083,-2,-1.5,,
,6:29:16 pm,6,,10,-47,45,-1.84,1.76,-0.29,0.28,-0.09,0.08,639.8,2099,-1.8,-1.7,,
,6:29:30 pm,7,,X,-12,-2,-0.46,-0.07,-0.07,-0.01,-0.02,0,637.9,2093,-2.2,-1.8,,
,6:29:43 pm,8,,X,-9,2,-0.34,0.09,-0.05,0.01,-0.02,0,640.9,2103,-2,-1.6,,
,6:29:57 pm,9,,X,3,18,0.11,0.7,0.02,0.11,0.01,0.03,638.5,2095,-1.8,-1.6,,
,6:30:11 pm,10,,X,-10,5,-0.38,0.2,-0.06,0.03,-0.02,0.01,639.5,2098,-2,-1.8,,
,6:30:26 pm,11,,X,21,-4,0.83,-0.14,0.13,-0.02,0.04,-0.01,635.1,2084,-1.9,-1.6,,

,,,,avg:,-3,8,-0.11,0.32,-0.02,0.05,0,0.02,638.5,2094.9,-1.9,-1.6,0.3,
,,,,SD:,28.8,15,1.13,0.59,0.18,0.09,0.05,0.03,2.86,9.4,0.11,0.14,0.1,

Jan 28 2025,AJ 50.2,13,800y,40-4X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:28:49 pm,1,,X,10,50,0.4,1.96,0.05,0.23,0.01,0.07,600.9,1971,1.1,-1.3,29.5,
,6:29:05 pm,2,,X,4,-4,0.16,-0.15,0.02,-0.02,0.01,-0.01,598.2,1963,1.5,-1.4,23.6,
,6:29:29 pm,3,,X,7,29,0.27,1.12,0.03,0.13,0.01,0.04,598.1,1962,1.2,-1.2,30.2,
,6:29:46 pm,4,,X,20,43,0.78,1.67,0.09,0.2,0.03,0.06,606.6,1990,1.9,-1.4,26.1,

,,,,avg:,10,29,0.4,1.15,0.05,0.14,0.01,0.04,600.9,1971.6,1.4,-1.3,27.4,
,,,,SD:,5.9,20.6,0.23,0.81,0.03,0.1,0.01,0.03,3.45,11.3,0.32,0.09,2.7,

Jan 28 2025,Alexis,12,600y,0-0X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:28:31 pm,S1,sighter,X,-16,-1,-0.61,-0.03,-0.1,-0.01,-0.03,0,654.2,2146,1.7,-2.7,,
,6:28:46 pm,S2,sighter,X,30,19,1.17,0.76,0.19,0.12,0.05,0.04,654.7,2148,1.6,-2.3,,
,6:28:58 pm,S3,sighter,10,-8,-47,-0.33,-1.87,-0.05,-0.3,-0.02,-0.09,653.3,2143,1.6,-2.5,,
,6:29:12 pm,S4,sighter,X,-33,4,-1.31,0.15,-0.21,0.02,-0.06,0.01,655.3,2150,1.4,-2.6,,
,6:29:25 pm,S5,sighter,X,25,9,1,0.37,0.16,0.06,0.05,0.02,651.5,2137,1.6,-2.4,,


Jan 28 2025,Marci Parrish,3,600y,193-7X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:20:40 pm,1,,9,38,-101,1.5,-3.99,0.24,-0.64,0.07,-0.18,574.8,1886,2.1,-0.7,18.1,
,6:21:03 pm,2,,10,-43,-66,-1.7,-2.62,-0.27,-0.42,-0.08,-0.12,582,1909,2.4,-0.6,14.1,
,6:21:26 pm,3,,X,1,-19,0.04,-0.77,0.01,-0.12,0,-0.04,561.3,1842,-1.1,-2.3,,
,6:22:02 pm,4,,10,34,-62,1.33,-2.43,0.21,-0.39,0.06,-0.11,570.3,1871,2,-0.6,17.3,
,6:22:28 pm,5,,9,65,-110,2.55,-4.33,0.41,-0.69,0.12,-0.2,576.9,1893,1.5,-0.8,20,
,6:22:50 pm,6,,9,38,-111,1.48,-4.36,0.23,-0.69,0.07,-0.2,556.5,1826,-0.9,-2.4,,
,6:23:17 pm,7,,10,32,-68,1.26,-2.68,0.2,-0.43,0.06,-0.12,576.2,1890,1.6,-0.8,17.3,
,6:23:42 pm,8,,9,87,-64,3.42,-2.52,0.54,-0.4,0.16,-0.12,572,1877,1.9,-0.5,18.8,
,6:24:07 pm,9,,X,10,6,0.4,0.23,0.06,0.04,0.02,0.01,571.5,1875,0.2,-1.7,,
,6:24:35 pm,10,,X,5,12,0.21,0.46,0.03,0.07,0.01,0.02,558,1831,-1.1,-2.1,,
,6:25:00 pm,11,,10,22,-53,0.87,-2.09,0.14,-0.33,0.04,-0.1,576,1890,2.3,-0.7,16.2,
,6:25:30 pm,12,,9,-51,-66,-2,-2.59,-0.32,-0.41,-0.09,-0.12,565.9,1857,2.1,-0.5,14.2,
,6:25:50 pm,13,,X,-20,-8,-0.78,-0.31,-0.12,-0.05,-0.04,-0.01,577.9,1896,2.8,-0.4,18.1,
,6:26:15 pm,14,,9,-47,-86,-1.84,-3.4,-0.29,-0.54,-0.09,-0.16,565.9,1857,2.4,-0.6,13.2,
,6:26:37 pm,15,,10,-44,22,-1.73,0.87,-0.28,0.14,-0.08,0.04,563.6,1849,1.2,-1.4,,
,6:27:00 pm,16,,9,-103,9,-4.06,0.37,-0.65,0.06,-0.19,0.02,572.6,1879,1.4,-1.5,,
,6:27:29 pm,17,,10,-46,-64,-1.82,-2.52,-0.29,-0.4,-0.08,-0.12,575.2,1887,2.5,-0.8,15.4,
